municipality_code,municipality_name,municipality_type,district_name,subdistrict_name,cluster,total_population,num_localities,localities
634,כפר קאסם,עירייה,המרכז,פתח תקווה,אשכול רשויות השרון,27121,1,"[{""locality_code"": 634, ""locality_name_he"": ""כפר קאסם"", ""locality_name_en"": ""Kafar Qasem"", ""population"": 27121}]"
654,כפר קרע,עירייה,חיפה,חדרה,ללא שיוך לאשכול,20580,1,"[{""locality_code"": 654, ""locality_name_he"": ""כפר קרע"", ""locality_name_en"": ""Kafar Qara"", ""population"": 20580}]"
1139,כרמיאל,עירייה,הצפון,עכו,אשכול רשויות בית הכרם הגלילי,48675,1,"[{""locality_code"": 1139, ""locality_name_he"": ""כרמיאל"", ""locality_name_en"": ""Karmi'el"", ""population"": 48675}]"
7000,לוד,עירייה,המרכז,רמלה,ללא שיוך לאשכול,90814,1,"[{""locality_code"": 7000, ""locality_name_he"": ""לוד"", ""locality_name_en"": ""Lod"", ""population"": 90814}]"
481,מגאר,עירייה,הצפון,כנרת,אשכול רשויות הכנרת והעמקים,23184,1,"[{""locality_code"": 481, ""locality_name_he"": ""מגאר"", ""locality_name_en"": ""Mughar"", ""population"": 23184}]"
874,מגדל העמק,עירייה,הצפון,יזרעאל,אשכול רשויות הגליל והעמקים,28545,1,"[{""locality_code"": 874, ""locality_name_he"": ""מגדל העמק"", ""locality_name_en"": ""Migdal HaEmeq"", ""population"": 28545}]"
3797,מודיעין עילית,עירייה,אזור יהודה ושומרון,ראמאללה,אשכול יהודה ושומרון,87486,1,"[{""locality_code"": 3797, ""locality_name_he"": ""מודיעין עילית"", ""locality_name_en"": ""Modi'in Illit"", ""population"": 87486}]"
1200,מודיעין-מכבים-רעות,עירייה,המרכז,רמלה,ללא שיוך לאשכול,97566,1,"[{""locality_code"": 1200, ""locality_name_he"": ""מודיעין-מכבים-רעות"", ""locality_name_en"": ""Modi'in-Makkabbim-Re'ut"", ""population"": 97566}]"
3616,מעלה אדומים,עירייה,אזור יהודה ושומרון,בית לחם,אשכול יהודה ושומרון,36680,1,"[{""locality_code"": 3616, ""locality_name_he"": ""מעלה אדומים"", ""locality_name_en"": ""Ma'ale Adummim"", ""population"": 36680}]"
1063,מעלות-תרשיחא,עירייה,הצפון,עכו,אשכול רשויות גליל מערבי,23133,1,"[{""locality_code"": 1063, ""locality_name_he"": ""מעלות-תרשיחא"", ""locality_name_en"": ""Ma'alot-Tarshiha"", ""population"": 23133}]"
